X_ACC,Y_ACC,Z_ACC,X_GYRO,Y_GYRO,Z_GYRO,X_GRAVITY,Y_GRAVITY,Z_GRAVITY,X_MF,Y_MF,Z_MF,X_GMRV,Y_GMRV,Z_GMRV,TIME,LABEL
2.3822699,-0.722347,-4.2896643,-0.50610185,1.1623238,-1.4979943,-8.152093,-4.4867473,3.1062195,18.4342,43.8102,-9.698999,-0.00057477143,0.5875841,-0.4922866,17:35:52,Fast
7.0851974,3.7606542,-1.3923388,-0.23243423,0.11927144,-2.0045543,-5.9857335,-7.5555673,1.8222334,12.139,45.9818,-8.2838,-0.14778227,0.58116496,-0.343278,17:35:52,Fast
-4.1412435,-2.7663097,0.8199489,0.3397938,0.046120327,0.55863625,-5.4435983,-7.8635845,2.1834352,23.8998,41.6264,-9.7844,-0.20045884,0.57158923,-0.2763145,17:35:52,Fast
-6.0130825,-1.5537949,1.237467,0.50518554,-0.8764389,1.8897116,-7.1453843,-6.159477,2.6908097,32.8912,34.5748,-14.6522,-0.23154606,0.5638108,-0.24797834,17:35:52,Fast
-1.4498048,-2.8580484,0.36782765,0.1965459,-0.24465153,1.0928379,-8.232135,-3.6891832,3.8546064,25.034399,40.8578,-8.6376,-0.20162322,0.6005606,-0.28362915,17:35:52,Fast
2.0410619,-1.0816827,-3.4564898,-0.24831672,1.3411547,-2.3950498,-7.747896,-5.567201,2.2830882,13.3712,46.2258,-6.9417996,-0.13001649,0.60449517,-0.37103415,17:35:52,Fast
4.9425907,2.8327858,-0.86680055,-0.13958271,-0.49464813,-1.2808317,-5.656715,-7.808486,1.8069955,18.4342,44.090797,-7.93,-0.19944045,0.58976793,-0.2904252,17:35:52,Fast
-4.88188,-1.2785826,0.97334933,-0.026572637,-0.038789943,1.4118623,-6.347807,-7.204933,2.0075867,29.938799,35.209198,-14.884,-0.22843671,0.58596027,-0.25442255,17:35:53,Fast
-3.4718509,-1.0820656,0.22707951,0.7512115,-1.1476631,2.1919372,-8.085625,-4.7168393,2.934316,28.1332,38.478798,-10.4553995,-0.22522405,0.5911884,-0.2578096,17:35:53,Fast
0.5538111,-1.6313725,-1.1465222,-0.40668353,0.47952923,-0.29856038,-8.453022,-3.5085454,3.5316617,12.139,44.9814,-7.2711997,-0.07127239,0.5589808,-0.42916596,17:35:53,Fast
7.282594,2.7458074,-1.904244,-0.48258355,0.6047566,-2.716976,-7.025085,-6.600458,1.8216019,16.518799,42.822,-6.2952,-0.2326633,0.5292354,-0.23625773,17:35:53,Fast
1.3522358,0.5445638,0.3770721,0.17577648,-0.058643065,-0.49678615,-5.4469247,-7.982969,1.6850355,27.2792,37.5272,-11.333799,-0.2578049,0.5230087,-0.19698082,17:35:53,Fast
-3.6459851,0.5649905,1.8903053,0.07467828,-0.75884736,1.698358,-6.668851,-6.887072,2.0810523,31.146599,35.1482,-12.968599,-0.26420072,0.5304795,-0.19786242,17:35:53,Fast
-0.9566903,-0.5321131,0.5644839,0.50579643,-0.9294315,1.9761491,-8.158759,-4.108383,3.5765853,16.4334,45.0546,-7.5518,-0.25159833,0.5584806,-0.20429593,17:35:53,Fast
1.1906457,-0.39950514,-2.4286618,-0.5169447,1.1881329,-1.318858,-8.24759,-4.3474474,3.0517356,14.457,46.0794,-7.0516,-0.14576106,0.5753617,-0.34026945,17:35:54,Fast
6.081486,2.5309699,-1.759412,-0.23823744,0.08674286,-2.0242548,-6.06293,-7.460511,1.9539045,24.9002,40.6016,-9.9796,-0.21705948,0.5726374,-0.25523734,17:35:54,Fast
-4.577047,-1.7925792,0.05145037,0.09728029,-0.1647809,0.71669763,-5.274549,-7.948882,2.2870333,30.1096,33.037598,-17.385,-0.21553299,0.5715865,-0.25541693,17:35:54,Fast
-3.8013134,0.580976,0.9353614,0.75426584,-0.2649628,2.134974,-6.9883294,-6.359645,2.637102,22.0942,41.541,-8.2716,-0.22500241,0.57262516,-0.25066006,17:35:54,Fast
